1_Labeling Total,80
0,size,29,14,15
1,size,28,14,14
2,size,28,14,14
3,size,29,14,15
4,size,29,14,15
5,size,29,15,14
6,size,29,15,14
7,size,29,14,15
8,size,28,14,14
9,size,28,14,14
10,size,28,13,15
11,size,29,15,14
12,size,18,3,15
13,size,28,13,15
14,size,29,14,15
15,size,29,14,15
16,size,18,3,15
17,size,18,4,14
18,size,28,14,14
19,size,29,14,15
20,size,29,15,14
21,size,30,15,15
22,size,17,3,14
23,size,28,14,14
24,size,30,15,15
25,size,28,14,14
26,size,29,15,14
27,size,28,13,15
28,size,29,15,14
29,size,29,14,15
30,size,29,15,14
31,size,30,16,14
32,size,29,14,15
33,size,29,14,15
34,size,28,14,14
35,size,28,14,14
36,size,18,3,15
37,size,17,2,15
38,size,28,14,14
39,size,30,15,15
40,size,30,15,15
41,size,18,3,15
42,size,29,15,14
43,size,28,14,14
44,size,28,14,14
45,size,28,14,14
46,size,20,5,15
47,size,29,14,15
48,size,16,2,14
49,size,29,14,15
50,size,28,14,14
51,size,28,13,15
52,size,29,14,15
53,size,28,14,14
54,size,28,14,14
55,size,17,2,15
56,size,29,14,15
57,size,18,3,15
58,size,17,3,14
59,size,28,14,14
60,size,28,14,14
61,size,28,14,14
62,size,28,13,15
63,size,27,13,14
64,size,28,14,14
65,size,27,13,14
66,size,16,2,14
67,size,18,4,14
68,size,28,14,14
69,size,29,14,15
70,size,29,15,14
71,size,29,14,15
72,size,28,15,13
73,size,26,12,14
74,size,28,14,14
75,size,17,3,14
76,size,28,14,14
77,size,28,14,14
78,size,28,14,14
79,size,18,4,14
Fail to Measure,0
Average,26.3,0.0465,1.22295
2_labeling_Total,81
0,size,28,13,15
1,size,29,14,15
2,size,29,13,16
3,size,28,14,14
4,size,28,13,15
5,size,29,14,15
6,size,29,14,15
7,size,29,13,16
8,size,29,13,16
9,size,29,13,16
10,size,30,14,16
11,size,30,14,16
12,size,29,14,15
13,size,28,13,15
14,size,28,13,15
15,size,28,12,16
16,size,27,13,14
17,size,29,14,15
18,size,29,14,15
19,size,30,14,16
20,size,30,14,16
21,size,29,14,15
22,size,30,14,16
23,size,29,14,15
24,size,29,13,16
25,size,28,13,15
26,size,29,14,15
27,size,29,15,14
28,size,17,2,15
29,size,29,13,16
30,size,29,13,16
31,size,28,13,15
32,size,29,13,16
33,size,29,14,15
34,size,29,14,15
35,size,30,14,16
36,size,28,13,15
37,size,29,14,15
38,size,29,14,15
39,size,29,14,15
40,size,29,14,15
41,size,28,13,15
42,size,29,14,15
43,size,29,13,16
44,size,28,12,16
45,size,28,12,16
46,size,30,14,16
47,size,20,5,15
48,size,29,14,15
49,size,29,14,15
50,size,29,13,16
51,size,29,13,16
52,size,27,12,15
53,size,28,13,15
54,size,28,13,15
55,size,28,12,16
56,size,30,14,16
57,size,28,13,15
58,size,28,13,15
59,size,30,14,16
60,size,29,14,15
61,size,29,14,15
62,size,28,13,15
63,size,27,12,15
64,size,28,13,15
65,size,28,12,16
66,size,29,14,15
67,size,28,12,16
68,size,29,14,15
69,size,29,14,15
70,size,29,13,16
71,size,29,13,16
72,size,28,14,14
73,size,28,11,17
74,size,27,12,15
75,size,29,13,16
76,size,28,13,15
77,size,29,14,15
78,size,28,13,15
79,size,28,13,15
80,size,27,12,15
Fail to Measure,0
Average,28.4074,0.0465,1.32094
3_labeling_Total,69
0,size,30,15,15
1,size,17,15,2
2,size,30,15,15
3,size,30,15,15
4,size,18,3,15
5,size,29,14,15
6,size,29,15,14
7,size,29,15,14
8,size,29,15,14
9,size,30,15,15
10,size,30,15,15
11,size,30,15,15
12,size,29,15,14
13,size,31,16,15
14,size,31,16,15
15,size,30,15,15
16,size,30,15,15
17,size,31,15,16
18,size,19,15,4
19,size,29,14,15
20,size,29,15,14
21,size,20,15,5
22,size,30,15,15
23,size,31,16,15
24,size,32,15,17
25,size,19,4,15
26,size,18,3,15
27,size,18,2,16
28,size,29,15,14
29,size,28,14,14
30,size,17,2,15
31,size,30,15,15
32,size,31,17,14
33,size,18,15,3
34,size,31,15,16
35,size,18,2,16
36,size,30,15,15
37,size,30,15,15
38,size,27,13,14
39,size,30,15,15
40,size,30,15,15
41,size,30,15,15
42,size,30,15,15
43,size,18,2,16
44,size,31,16,15
45,size,29,15,14
46,size,29,15,14
47,size,31,15,16
48,size,29,15,14
49,size,31,15,16
50,size,31,15,16
51,size,31,15,16
52,size,30,15,15
53,size,29,14,15
54,size,30,15,15
55,size,30,15,15
56,size,30,15,15
57,size,18,3,15
58,size,29,14,15
59,size,30,16,14
60,size,31,16,15
61,size,30,15,15
62,size,30,15,15
63,size,30,15,15
64,size,29,14,15
65,size,17,3,14
66,size,29,14,15
67,size,29,15,14
68,size,29,16,13
Fail to Measure,0
Average,27.6377,0.0465,1.28515
